English,Spanish,Portuguese
apologize,pedir disculpas,peça desculpas
seat,asiento,assento
nervous,nervioso,nervoso
across,al otro lado de,através
song,canción,música
Olivia,Olivia,Olivia.
charge,cargar,cobrar
patient,paciente,paciente
Cassie,Cassie,Cassie
boat,bote,barco
how'd,Como,como
brain,cerebro,cérebro
hide,esconder,ocultar
detective,detective,detetive
Aaron,Aaron,Aaron.
Kendall,Kendall,Kendall.
general,general,em geral
Tom,Tomás,Tom
planning,planificación,planejamento
nine,nueve,nove
huge,enorme,enorme
breakfast,desayuno,café da manhã
horrible,horrible,horrível
age,edad,idade
awful,horrible,horrível
pleasure,Placer,prazer
driving,conduciendo,dirigindo
hanging,colgante,pendurado
picked,escogido,escolhido
system,sistema,sistema
sell,vender,vender
quit,renunciar,Sair
apparently,aparentemente,pelo visto
dying,moribundo,moribundo
notice,aviso,perceber
Josh,Josh,Josh.
congratulations,Felicidades,Parabéns
chief,jefe,chefe
faith,fe,fé
Simon,Simón,Simon.
gay,gay,gay
ho or Ho,ho o ho,ho ou ho.
one's,unos,uns
month,mes,mês
visit,visitar,Visita
Hal,Hal,Hal.
could've,podría haber tenido,poderia ter
c'mon,vamos,Vamos lá
aw,aw,aw.
Edmund,Edmund,Edmund.
Brady,Brady,Brady.
letter,carta,carta
decide,decidir,decidir
American,americano,americano
double,doble,Duplo
Troy,Troy,Troy
sad,triste,triste
press,Prensa,Aperte
forward,adelante,frente
fool,tonto,idiota
showed,presentado,mostrou
smell,oler,cheiro
seemed,pareció,pareceu
Mary,María,Mary
spell,deletrear,soletrar
Courtney,Courtney,Courtney.
memory,memoria,memória
Mark or mark,Marca o marca,Mark ou Mark
Alan,Alan,Alan.
pictures,fotos,As fotos
Paris,París,Paris
slow,lento,lento
Joe or joe,Joe o Joe,Joe ou Joe.
Tim,Tim,Tim.
seconds,segundos,segundos
hungry,hambriento,com fome
board,tablero,borda
position,posición,posição
hearing,audiencia,audição
Roz,Roz,Roz.
kitchen,cocina,cozinha
ma'am,señora,Ma'am.
Bob or bob,Bob o Bob,Bob ou Bob.
force,fuerza,força
fly,volar,voe
during,durante,no decorrer
space,espacio,espaço
should've,debería haber,deveria ter
realized,dio cuenta,percebeu
experience,experiencia,experiência
kick,patear,pontapé
others,otros,outras
grab,tomar,agarrar
mother's,madre,mãe
P.,pag.,P.
Sharon,Sharon,Sharon.
discuss,discutir,discutir
third,tercera,terceiro
cat or Cat,gato o gato,gato ou gato
fifty,cincuenta,cinquenta
responsible,responsable,responsável
Jennifer,Jennifer,Jennifer.
Philip,Philip,Philip
miles or Miles,millas o millas,milhas ou milhas
fat,gordo,gordura
reading,leyendo,lendo
idiot,idiota,idiota
yep,sí,Sim
rock,rock,Rocha
rich,Rico,rico
suddenly,repentinamente,De repente
agent,agente,agente
bunch,racimo,Monte
destroy,destruir,destruir
bucks,bucal,Bucks.
track,pista,acompanhar
shoes,Zapatos,sapatos
scene,escena,cena
peace,paz,Paz
arms,brazos,braços
demon,demonio,demônio
Diane,Diane,Diane.
Bridget,Bridget,Bridget
Brad,Puntilla,Brad
low,bajo,baixo
Livvie,Livvie,Livvie.
consider,considerar,considerar
papers,documentos,papéis
medical,médico,médico
incredible,increíble,incrível
witch,bruja,bruxa
er,er,er.
drunk,borracho,bêbado
attorney,abogado,advogado
Charlie,Charlie,Charlie.
tells,decir,Diz
knock,golpear,bater
Karen,Karen,Karen
ways,formas,maneiras
eh,eh,Eh
belle or Belle,Belle o Belle,Belle ou Belle.
cash or Cash,efectivo o efectivo,dinheiro ou dinheiro
gives,da,dá
department,Departamento,departamento
nose,nariz,nariz
Skye,Skye,Skye.
turns,girar,vira
keeps,mantiene,mantém
beer,cerveza,Cerveja
jealous,celoso,ciúmes
drug,droga,medicamento
Molly,muchacha,Molly.
sooner,cuanto antes,mais cedo
cares,cuidar,se importa
plenty,mucho,bastante
extra,extra,extra
tea,té,chá
won,ganado,Ganhou
attack,ataque,ataque
ground,suelo,terra
whose,cuyo,cujo
outta,suceder,outta.
Kyle,Kyle,Kyle.
L.,L.,EU.
weekend,fin de semana,fim de semana
matters,asuntos,assuntos
wrote,escribió,escrevi
type,escribe,modelo
father's,del padre,pai
Alex,Alex,Alex.
gosh,Dios mio,Poxa
opportunity,oportunidad,oportunidade
king,Rey,Rei
impossible,imposible,impossível
books,libros,livros
machine,máquina,máquina
waste,desperdicio,desperdício
th,th,º
pretend,pretender,faz de conta
named,llamado,nomeado
danger,peligro,perigo
wall,pared,muro
Liz,Liz,Liz.
Ian,Ian,Ian.
Henry,Enrique,Henry.
jump,salto,pular
eating,comiendo,comendo
proof,prueba,prova
complete,completo,completo
slept,dormido,dormiu
career,carrera profesional,carreira
arrest,arrestar,prender prisão
star,estrella,Estrela
Phyllis,Phyllis,Phyllis.
Mac,Mac,Mac
breathe,respirar,respirar
perfectly,perfectamente,perfeitamente
warm,cálido,caloroso
pulled,tirado,retirado
Maria,Maria,Maria.
twice,dos veces,em dobro
easier,más fácil,mais fácil
killer,asesino,assassino
goin',entra',entre'
dating,Fechado,namoro
suit,traje,Traje
romantic,romántico,romântico
drugs,drogas,drogas
comfortable,cómodo,confortável
Isaac,Isaac,Isaac.
powers or Powers,poderes o poderes,poderes ou poderes
finds,descubrimiento,encontra.
checked,comprobado,verificado
fit,encajar,em forma
divorce,divorcio,divórcio
begin,comenzar,começar
ourselves,Nosotros mismos,nós mesmos
closer,más cerca,mais perto
ruin,ruina,ruína
although,a pesar de que,Apesar
smile,sonrisa,sorriso
laugh,reír,rir
fish,pez,peixe
Abigail,Abigail,ABIGAIL.
treat,tratar,tratar
god's,Dioses,Deuses
fear,temor,medo
Anna,Anna,Anna.
what'd,que,O que
Simone,Simone,Simone.
Amber,Ámbar,Âmbar
guy's,tipo,rapazes
otherwise,de lo contrario,de outra forma
excited,emocionado,animado
mail,correo,correspondência
hiding,ocultación,escondido
cost,costo,custo
green or Green,verde o verde,verde ou verde
stole,estola,roubaram
Pacey,Pácy,Pacey
noticed,notado,percebido
Liza,Liza,Liza.
fired,despedido,despedido
Daphne,Dafne,Daphne.
Whitney,Whitney,Whitney.
excellent,excelente,excelente
lived,vivido,vivia
bringing,trayendo,trazendo
pop,música pop,pop.
piper or Piper,Piper o Piper,Piper ou Piper
bottom,fondo,fundo
note,Nota,Nota
sudden,repentino,de repente
church,Iglesia,Igreja
bathroom,baño,banheiro
flight,vuelo,voar
Chad or chad,Chad o Chad,Chade ou Chad.
la or LA,la o la,LA ou LA
honestly,honestamente,honestamente
sing,canta,cantar
Katie,Katie,Katie.
foot,pie,pé
games,juegos,Jogos
glass,vidrio,copo
N.,NORTE.,N.
Mitch,Mitch,Mitch.
remind,recordar,lembrar
bank,Banco,Banco
Rory,Rory,Rory.
charges,cargos,cobranças
witness,testigo,testemunha
finding,hallazgo,encontrar
places,lugares,locais
tree,árbol,árvore
dare,atrevimiento,Atreva-se
hardly,difícilmente,dificilmente
that'll,eso será,isso vai
U.,U.,VOCÊ.
interest,interesar,interesse
steal,robar,roubar
princess,princesa,Princesa
silly,tonto,boba
contact,contacto,contato
teach,enseñar,Ensinar
shop,tienda,fazer compras
plus,más,mais
colonel,coronel,coronel
fresh,nuevo,fresco
trial,juicio,experimental
invited,invitado,convidamos
roll,rodar,rolar
radio,radio,rádio
art,Arte,arte
reach,alcanzar,alcançar
heh,jah,heh.
dirty,sucio,sujo
choose,escoger,escolher
emergency,emergencia,emergência
dropped,caído,derrubado
butt,extremo,bunda
credit,crédito,crédito
obvious,obvio,óbvio
cry,llorar,chore
locked,bloqueado,trancado
Larry,Larry,Larry.
loving,cariñoso,amoroso
positive,positivo,positivo
nuts,nueces,nozes
agreed,acordado,concordaram
Prue,Prue,PRUE.
price or Price,precio o precio,preço ou preço
goodbye,adiós,adeus
condition,condición,doença
guard,Guardia,guarda
fuckin',follando,porra '
grow,crecer,crescer
cake,pastel,bolo
mood,estado animico,humor
dad's,papá,Papai
Bianca,Bianca,Bianca
total,total,total
crap,tonterías,besteira
crying,llanto,choro
Paige,Paigre,Paige.
K. or 'k,K. o 'k,K. ou 'K
belong,pertenecer,pertencer
lay,poner,deitar
partner,pareja,parceiro
trick,truco,truque
pressure,presión,pressão
ohh,Oh,ohh
arm,brazo,braço
dressed,vestido,vestido
cup,taza,copo
lies,mentiras,mentiras
bus,autobús,ônibus
taste,gusto,gosto
neck,cuello,pescoço
south,Sur,Sul
something's,algunas cosas,algumas coisas
nurse,enfermero,enfermeira
raise,aumentar,levantar
land,tierra,terra
cross,cruzar,cruzar
lots,lotes,grande quantidade
mister,señor,senhor
carry,llevar,carregar
group,grupo,grupo
whoever,quien,Quem quer que seja
Eddie,Eddie,Eddie
drinking,Bebiendo,bebendo
they'd,ellos habian,eles teriam
breaking,rotura,quebra
file,expediente,Arquivo
lock,cerrar con llave,trancar
computer,computadora,computador
yo,yo,yo.
Rebecca,Rebecca,Rebecca.
wine,vino,vinho
closed,cerrado,fechado
writing,escribiendo,escrita
spot,lugar,local
paying,pago,Pagando
study,estudiar,estude
assume,asumir,presumir
asleep,dormido,dormindo
man's,del hombre,homem
turning,torneado,girando
legal,legal,jurídico
justice,justicia,justiça
Viki,Viki,Viki.
Chandler,Velero,Chandler.
bedroom,habitación,quarto
shower,ducha,chuveiro
Nikolas,Nikolas,Nikolas.
camera,cámara,Câmera
fill,llenar,encher
reasons,razones,Razões
forty,cuarenta,quarenta
bigger,más grande,Maior
nope,no,Não
keys,teclas,chaves
Starr,Starr,Starr.
breath,respiración,respiração
doctors,médicos,Médicos
pants,pantalones,calça
freak,fenómeno,doido
level,nivel,nível
French,francés,francês
movies,películas,filmes
gee,Caramba,gee.
Monica,Monica,Monica
action,acción,açao
area,zona,área
folks,muchachos,pessoal
Steve,Steve,Steve.
cream,crema,creme
ugh,puaj,ECA
continue,Seguir,Prosseguir
focus,atención,foco
wild,salvaje,selvagem
truly,realmente,verdadeiramente
Jill or jill,Jill o Jill,Jill ou Jill.
desk,escritorio,escrivaninha
convince,convencer,convencer
client,cliente,cliente
threw,tiró,jogou
Taylor,Taylor,Taylor.
band,banda,banda
hurts,duele,machuca
Charles,Charles,Charles.
spending,gasto,gastos
Neil,Neil,Neil.
field or Field,campo o campo,campo ou campo
allow,permitir,permitir
grand,grandioso,grande
answers,respuestas,respostas
shirt,camisa,camisa
chair,silla,cadeira
Christ or christ,Cristo o Cristo,Cristo ou Cristo
allowed,permitido,permitido
rough,áspero,duro
doin,doin,Doin
sees,ves,vê.
government,Gobierno,governo
Harry,Harry,atormentar
ought,debería,deveria
empty,vacío,vazio
round,redondo,arredondar
lights,luces,luzes
insane,loco,insano
hall or Hall,Hall o Hall,Hall ou Hall
hat,sombrero,chapéu
bastard,Bastardo,Desgraçado
wind,viento,vento
shows,muestra,mostra
aware,consciente,consciente
dealing,relación comercial,tratativa
pack,paquete,pacote
meaning,sentido,significado
flowers,flores,flores
tight,ajustado,justa
hurting,doler,machucando
ship,Embarcacion,navio
subject,sujeto,sujeito
guest,huésped,hóspede
mom's,Mamá,Mamãe
chicken,pollo,frango
pal,camarada,amigo
match,partido,partida
Elaine,Eline,Elaine.
arrested,detenido,preso
sun,sol,sol
Rachel,Rachel,Rachel
Salem,Salem,Salem.
confused,confundido,confuso
surgery,cirugía,cirurgia
expecting,esperando,esperando
deacon,diácono,diácono
Colleen,Muchacha,Colleen
unfortunately,Desafortunadamente,Infelizmente
goddamn,maldito,Maldito
lab,laboratorio,laboratório
passed,aprobado,passado
bottle,botella,garrafa
beyond,más allá de,além
whenever,cuando sea,sempre que
pool,piscina,piscina
opinion,opinión,opinião
naked,desnudo,nu
held,retenida,guardado
common,común,comum
starts,empieza,começa
jerk,imbécil,idiota
secrets,misterios,segredos
falling,descendente,queda
played,jugó,jogado
necessary,necesario,necessário
barely,apenas,por muito pouco
dancing,baile,dançando
health,salud,saúde
tests,pruebas,Testes.
copy,Copiar,cópia de
Keri,Keri,Keri.
video,video,vídeo
cousin,prima,primo
planned,planificado,planejado
Vanessa,Vanessa,Vanessa.
dry,seco,seco
ahem,Ejem,ahem.
twelve,doce,doze
simply,simplemente,simplesmente
Tess,Tess,Tess
Scott,Scott,Scott.
skin,piel,pele
often,a menudo,frequentemente
English,inglés,inglês
fifteen,quince,quinze
spirit,espíritu,espírito
speech,habla,discurso
names,nombres,nomes
issue,asunto,questão
orders,pedidos,Pedidos
nah,nah,nah.
final,final,final
Michelle,Michelle,Michelle.
America,America,América
St.,S t.,St.
results,resultados,resultados
code,código,código
Ned,Ned,Ned.
Bonnie,Bonnie,Bonnie
W.,W.,C.
believed,creído,acreditava
complicated,Complicado,complicado
umm,umm,umm.
research,investigar,pesquisar
nowhere,en ningún lugar,em lugar nenhum
escape,escapar,fuga
biggest,más grande,o maior
restaurant,restaurante,restaurante
page or Page,Página o página,página ou página
grateful,agradecido,grato
usual,usual,usual
burn,quemar,queimar
Chicago,Chicago,Chicago
Austin,Austin,Austin.
address,Dirección,Morada
within,dentro de,dentro de
someplace,en algún lugar,em algum lugar
screw,tornillo,parafuso
everywhere,En todas partes,em toda parte
train,tren,Comboio
film,película,filme
regret,arrepentirse,arrepender
goodness,bondad,bondade
mistakes,errores,erros
heaven or Heaven,cielo o cielo,Céu ou Céu
details,detalles,detalhes
responsibility,responsabilidad,responsabilidade
suspect,sospechar,suspeito
corner,esquina,canto
hero,héroe,herói
dumb,tonto,idiota
terrific,fantástico,formidável
Peter,Peter,Pedro
mission,misión,missão
further,más lejos,mais distante
Amy,Amy,Amy.
gas,gas,gás
whoo,whoo,whoo.
hole,agujero,orifício
memories,recuerdos,recordações
o'clock,en punto,horas
Brian,Brian,Brian.
truck,camión,caminhão
following,siguiente,Segue
ended,terminado,terminou
nobody's,No de nadie,ninguém é
Margo,Margo,Margo
teeth,diente,dentes
ruined,arruinado,arruinado
Hank,Madeja,Hank.
split,separar,dividir
Reva,Revasa,Reva.
bear,soportar,Urso
airport,aeropuerto,aeroporto
bite,morder,mordida
smoke,fumar,fumaça
Stenbeck,Stenbeck,Stenbeck
older,más viejo,Mais velho
liar,mentiroso,mentiroso
horse,caballo,cavalo
Gwen,Gwen,Gwen.
showing,demostración,mostrando
van or Van,camioneta,van ou van.
project,proyecto,projeto
cards,tarjetas,cartões
desperate,desesperado,desesperado
themselves,ellos mismos,si mesmos
search,búsqueda,procurar
pathetic,patético,patético
damage,daño,dano
spoke,habló,falou
quickly,rápidamente,rapidamente
scare,susto,susto
Marah,Marah,Marah.
G.,GRAMO.,G.
beach,playa,praia
Mia,Desaparecido en combate,Mia.
brown or Brown,marrón o marrón,marrom ou marrom
afford,poder pagar,dispor
vote,votar,voto
settle,asentar,resolver
gold,oro,ouro
re or 're,re o 're,re ou 're
mentioned,mencionado,mencionado
ed or -ed,ed o -ed,ed ou -ed.
due,vencer,vencimento
passion,pasión,paixão
Y. or -y,Y. o -y,Y. OU -Y.
stayed,permaneció,fiquei
rule,regla,regra
Friday,viernes,Sexta-feira
checking,comprobación,verificação
tie,Corbata,gravata
hired,Contratado,contratado
upon,sobre,sobre
rush or Rush,apresurarse o correr,Rush ou Rush
Tad,Tad,Tadir
heads,cabezas,cabeças
concern,preocupación,preocupação
blew,sopló,estraguei
natural,natural,natural
Alcazar,Alcázar,Alcazar.
Kramer,Kramer,Kramer.
champagne,champán,champanhe
connection,conexión,conexão
tickets,Entradas,ingressos
Kate,Kate,Kate.
finger,dedo,dedo
happiness,felicidad,felicidade
form,formulario,Formato
saving,ahorro,economizando
kissing,besar,se beijando
Martin,Martín,Martin.
hated,odiado,odiou
personally,personalmente,pessoalmente
suggest,sugerir,sugerir
prepared,preparado,preparado
build,construir,Construir
leg,pierna,perna
onto,sobre,para
leaves,sale de,folhas
downstairs,abajo,andar de baixo
ticket,billete,bilhete
it'd,yo,é
taught,enseñó,ensinado
loose,suelto,solto
holy,santo,sagrado
staff,personal,funcionários
sea,mar,mar
Asa,Como un,Como um
planet,planeta,planeta
duty,deber,dever
convinced,convencido,convencido
throwing,lanzamiento,jogando
defense,defensa,defesa
Harvey,Harvey,Harvey.
kissed,besado,beijado
legs,piernas,pernas
Dave,Dave,Dave
according,según,de acordo com
loud,fuerte,alto
practice,práctica,prática
Andy,Andy,Andy.
Jess,Cadena,Jess.
Saturday,sábado,sábado
Colin,Colin,Colin.
bright or Bright,brillante o brillante,brilhante ou brilhante
Amanda,Amanda,Amanda.
Fraser,Frasero,Fraser.
F.,F.,F.
babies,bebés,bebês
army,Ejército,Exército
where'd,donde D,onde d
warning,advertencia,aviso
miracle,milagro,milagre
carrying,que lleva,carregando
flying,volador,vôo
Caleb,Caleb,Caleb.
blind,ciego,cego
queen,reina,rainha
ugly,feo,feio
shopping,compras,Shopping
hates,odio,odeia
someone's,de alguien,de alguém
Seth,Seth,Seth.
monster,monstruo,monstro
sight,vista,visão
vampire,vampiro,vampiro
Rosanna,Rosanna,Rosna
bride,novia,noiva
coat,Saco,casaco
account,cuenta,conta
states,estados,afirma
clearly,claramente,claramente
celebrate,celebrar,comemoro
Nicole,Nicole,Nicole.
brilliant,brillante,brilhante
wanting,falto,querendo
Allison,Allison,Allison.
add,agregar,adicionar
moon,Luna,lua
Forrester,Forrester,Forrester.
lips,labios,lábios
custody,custodia,custódia
center,centrar,Centro
screwed,atornillado,parafusado
buying,comprar,comprando
size,Talla,Tamanho
toast,brindis,brinde
thoughts,pensamientos,pensamentos
Isabella,Isabela,Isabella.
student,estudiante,aluna
stories,cuentos,histórias
however,sin embargo,no entanto
professional,profesional,profissional
stars,estrellas,estrelas
reality,realidad,realidade
Jimmy or jimmy,Jimmy o Jimmy,Jimmy ou Jimmy.
birth,nacimiento,aniversário
Lexie,Lexie,Lexie.
attitude,actitud,atitude
advantage,ventaja,vantagem
grandfather,abuelo,Vô
Sami,Sami,Sami.
sold,vendido,vendido
opened,abrió,aberto
Lily,Lirio,Lírio
grandma,abuela,avó
beg,mendigar,implorar
Edward,Eduardo,Edward
changes,cambios,mudanças
Diego,Diego,Diego.
Cole,Col,Cole.
someday,algún día,algum dia
grade,calificación,nota
cheese,queso,queijo
roof,techo,cobertura
Kenny,Kenny,Kenny.
Bobby or bobby,Bobby o Bobby,Bobby ou Bobby
pizza,Pizza,pizza
brothers,hermanos,irmãos
X. or x,X. o x,X. ou X.
signed,firmado,assinado
bird,pájaro,pássaro
ahh,Ah,Ahh
marrying,casarse,casar-se
powerful,poderoso,poderoso
grown,crecido,crescido
grandmother,abuela,vovó
fake,falso,falso
opening,apertura,abertura
Sally,Salida,Sally
Stephanie,Stephanie,Stephanie.
expected,esperado,esperado
eventually,finalmente,eventualmente
must've,debe tener,deve ter
ideas,ideas,Ideias
exciting,excitante,excitante
covered,cubierto,abordado
Parker,Parker,Parker.
de,Delaware,de.
familiar,familiar,familiar
bomb,bomba,bombear
bout,combate,ataque
television,televisión,televisão
harmony or Harmony,armonía o armonía,harmonia ou harmonia
color,color,cor
heavy,pesado,pesado
schedule,calendario,cronograma
records,registros,registros.
H.,H.,H.
dollar,dólar,dólar
capable,capaz,capaz
master,Maestro,mestre
numbers,números,números
Toby,Tobo,Toby.
practically,prácticamente,praticamente
including,incluso,Incluindo
correct,correcto,correto
clue,pista,dica
forgotten,olvidado,esquecido
immediately,inmediatamente,imediatamente
appointment,cita,compromisso
social,social,social
nature,naturaleza,natureza
ú,ú,você
deserves,merece,merece
west or West,oeste u oeste,oeste ou oeste
Blake,Blake,Blake
teacher,profesor,professora
threat,amenaza,ameaça
Frankie,Franqueza,Frankie
bloody,sangriento,sangrento
lonely,solitario,sozinho
Kelly,Kelly,Kelly.
ordered,ordenado,encomendado
shame,vergüenza,vergonha
Brittany,Bretaña,Brittany
local,local,local
jacket,chaqueta,jaqueta
hook,gancho,gancho
destroyed,destruido,destruído
scary,de miedo,apavorante
loser,perdedor,fracassado
investigation,investigación,investigação
above,encima,acima
Jamal,Jamal,Jamal.
invite,invitación,convidar
shooting,tiroteo,tiroteio
merry,alegre,alegre
port,Puerto,porta
precious,precioso,precioso
lesson,lección,lição
Roy,Roy,Roy.
criminal,delincuente,Criminoso
growing,creciente,crescendo
caused,causado,causada
victim,víctima,vítima
professor,profesor,professor
followed,seguido,seguido
funeral,funeral,velório
nothing's,de nada,Nada é
dean,decano,reitor
considering,considerando,considerando
burning,incendio,queimando
couch,sofá,sofá
strength,fuerza,força
harder,más difícil,mais difícil
loss,pérdida,perda
view,vista,Visão
Gia,Gia,Gia.
beauty,belleza,beleza
sisters,hermanas,irmãs.
everybody's,todo el mundo,todo mundo
several,varios,de várias
pushed,empujado,empurrado
Nicholas,Nicholas,Nicholas.
written,escrito,escrito
somebody's,alguien,de alguém
shock,choque,choque
pushing,emprendedor,empurrando
heat,calor,aquecer
chocolate,chocolate,chocolate
greatest,más grande,o melhor
Holden,Holden,Holden
miserable,miserable,miserável
Corinthos,Corinthos,Corinthos.
nightmare,pesadilla,pesadelo
energy,energía,energia
brings,trae,traz
Zander,Zander,Zander.
character,personaje,personagem
became,se convirtió,passou a ser
famous,famoso,famoso
enemy,enemigo,inimigo
crash,choque,colidir
chances,posibilidades,chances
sending,enviando,Enviando
recognize,reconocer,reconhecer
healthy,saludable,saudável
boring,aburrido,chato
feed,alimentar,alimentar
engaged,comprometido,noivo
Sarah,Sarah,Sarah.
percent,por ciento,por cento
headed,con membrete,dirigindo-se
Brandon,Brandon,Brandon.
lines,líneas,linhas
treated,tratado,tratado
purpose,propósito,propósito
north or North,norte o norte,norte ou norte
knife,cuchillo,faca
rights,derechos,direitos
drag,arrastrar,arrastar
San,San,San
fan,ventilador,fã
badly,gravemente,seriamente
speed,velocidad,Rapidez
Santa,Papa Noel,Papai Noel
hire,contratar,contratar
curious,curioso,curioso
paint,pintura,pintar
pardon,perdón,perdão
Jackson,Jackson,Jackson.
built,construido,construído
behavior,comportamiento,comportamento
closet,armario,armário
candy or Candy,dulces o dulces,Doces ou doces
Helena,Helena,Helena
warn,advertir,avisar
gorgeous,precioso,linda
post,correo,publicar
milk,Leche,leite
survive,sobrevivir,sobreviver
forced,forzado,forçado
daria,Daria,Daria.
victoria,victoria,Victoria.
operation,operación,Operação
suck,chupar,suga
offered,Ofrecido,oferecido
hm,hm,hm.
ends,terminado,extremidades
dump,vertedero,jogar fora
rent,alquiler,aluguel
marshall,marshall,marshall.
remembered,recordado,lembrou
lieutenant,teniente,tenente
trade,comercio,troca
thanksgiving,acción de gracias,Ação de graças
rain,lluvia,chuva
revenge,venganza,vingança
physical,físico,físico
available,disponible,acessível
program,programa,programa
prefer,preferir,preferir
baby's,del bebé,Bêbês
spare,repuesto,poupar
pray,rezar,rezar
disappeared,desaparecido,desaparecido
aside,aparte,"a parte, de lado"
statement,declaración,demonstração
sometime,algún tiempo,às vezes
animal,animal,animal
sugar,azúcar,açúcar
Ricky,Ricky,Ricky.
meat,carne,eu no
fantastic,fantástico,fantástico
breathing,respiración,respirando
laughing,risa,rindo
itself,sí mismo,em si
tip,propina,gorjeta
stood,permaneció,ficou
market,mercado,mercado
Raul,Raul,Raul
affair,amorío,caso
Stephen,Stephen,Stephen.
ours,nuestro,nosso
depends,depende,depende do
cook,cocinero,cozinhar
babe,bebé,Babe
main,principal,a Principal
woods,bosque,madeiras
protecting,proteger,Protegendo
jury,jurado,júri
Harley,Harley,Harley.
national,nacional,nacional
brave,valiente,corajoso
storm,tormenta,tempestade
large,grande,ampla
prince,Príncipe,Principe
Jack's,Jack's,Jack's.
interview,entrevista,entrevista
Daniel,Daniel,Daniel
roger,Roger,roger.
football,fútbol,futebol
fingers,dedos,dedos
murdered,asesinado,assassinado
Stan,Estan,Stan.
sexy,sexy,sexy.
Julia,Julia,Julia.
explanation,explicación,explicação
da,dar,daí
process,proceso,processar
picking,cosecha,picking.
based,establecido,Sediada
style,estilo,estilo
stone,Roca,pedra
pieces,piezas,peças
blah,paja,blah.
assistant,asistente,assistente
stronger,más fuerte,mais forte
block,cuadra,quadra
aah,aah,aah.
Newman,Hombre nuevo,Novo homem
bullshit,mierda,besteira
pie,tarta,torta
handsome,guapo,jeitoso
unbelievable,increíble,inacreditável
